Skills
Python
Gestion de projet
Microsoft Excel
Apprentissage automatique
Analyse de donnees
Sciences economiques
Statistiques
Methodes agiles
Deep learning
Analyse de donnees statistiques
Science des donnees
Pack Office
Microsoft Office
Stata
Python (langage de programmation)
Google Analytics
Microsoft Power BI
Design Thinking
Leadership
relation client
Arabe
Franeais
Anglais
RStudio
Bloomberg
Banque d'investissement
Marche financier
Produits derives
VBA
Analyse financiere
Obligations/titres e revenu fixe
Financial Markets
Derivatives
Corporate Finance
Finance
Finance d'entreprise
Gestion de portefeuille
Modelisation financiere
Middle-office
Marche des capitaux
Gestion d'actifs
python 
Matlab
Scilab
freefem++
R
Microsoft Office
LaTeX
C
Machine Learning
Programming
Statistics
Data Science
Algorithms
Artificial Intelligence (AI)
Supervised Learning
Machine Learning Algorithms
Statistical Data Analysis
Data Mining
Optimization
Mathematical Modeling
Deep Learning
Mathematics
Artificial Neural Networks
Applied Mathematics
Data sciences 
SQL
Apache Spark
Apache NiFi
Hive
Apache Kafka
Hadoop
Azure Databricks
Python
Developpement web
MySQL
Programmation en C
Git
LaTeX
LabView
JavaScript
Anglais
Espagnol
Mathematiques appliquees
R
Deep learning
Computer vision
NLP
Python
Statistiques
Modelisation
Analyse quantitative
Visual Basic pour Applications (VBA)
C++
MySQL
Unix
Reinforcement learning
Statistique bayesienne
Probabilites
Simulation Monte Carlo
Scilab
Recherche
Enseignement superieur
Mathematiques appliquees
Science
Analyse numerique
Algorithmes
Informatique
Physique
Simulations
Statistiques
Matlab
Franeais
Leadership
Management
Gestion de projet
Gestion d'equipe
Finance
Change Management
C++
Gestion deequipe
Project Management
SQL
Microsoft Excel
Strategie
Informatique decisionnelle
Microsoft Office
Python
Anglais
SQL
React.js
java
Microsoft Office
C++
C
PHP
HTML
Parler en public
Espagnol
Power BI
Hadoop
Apache Spark
python
Machine learning
NLP
Exploration des donnees
SQL
praat
Opinion mining
Analyse de texte
regex
Apprentissage automatique
Python
Java
C++
data mining
deep learning
Apprentissage automatique
Linux
Management
Python
R
Reseaux sociaux
LaTeX
Microsoft Office
SQL
Teamwork
Communication
Computer Science
Data Analysis
Apache Spark
Python (Programming Language)
Knime
Dataiku
Recherche
Analyse de donnees
Linux
Science
Statistiques
Anglais scientifique
Apprentissage automatique
LaTeX
Programmation
Enseignement
Modelisation statistique
Analyse de donnees statistiques
Informatique
R
Enseignement universitaire
Python (langage de programmation)
Git
GitHub
Visualisation de donnees
Hadoop
Apache Spark
TensorFlow
Keras
Bash
Mathematiques
Physique
Cartographie
MATLAB
Exploration des donnees
Segmentation
Redaction de rapport
Deep learning
Changement climatique
Traitement des donnees
Python
Matlab
Project Management
Deep Learning
Cloud
Statistics
Statistical Modeling
Machine Learning
Data Analysis
Operations Research
Research
Data Science
Data Mining
C++
R
C
Julia
Docker
PyTorch
TensorFlow
SQL
Pandas (Software)
Amazon Web Services (AWS)
Google Cloud Platform (GCP)
NoSQL
Linux
Github
Flask
Microsoft Office
Git
Natural Language Processing (NLP)
Apache Spark
Neural Networks
Scikit-Learn
NumPy
Time Series Analysis
SciPy
Bokeh Visualization Library
Analyse de donnees
Analyse predictive
Base de donnees
Analyse numerique
Statistiques
Creation de sites web
Python
R
Microsoft Excel
Microsoft PowerPoint
Gestion de projet agile
Machine learning
Python
Django
R
MATLAB
C
C++
JavaScript
SQL
PHP
HTML5
jQuery
Bootstrap
LaTeX
Java
C++
C
UML
PHP
Data Mining
HTML
Microsoft Office
Data Analysis
MySQL
Applied Mathematics
SQL
Direction d'etablissement
Conception de programmes de formation
Enseignement superieur
Teaching
Gestion de projet
Direction pedagogique
Python
Machine learning
R
Bases de donnees avancees SQL & Oracle
Intelligence artificielle
Analyse de donnees
Scala
Algorithmique scientifique
Maple
C++
Scilab
Statistiques descriptives
Data mining
Analyses Big Data
Analyse numerique
Optimisation lineaire et non lineaire
Microsoft Excel
Microsoft Word
Microsoft PowerPoint
OS X
Linux
Microsoft Windows
TOEIC : 865
